Respondent,State,Internet_use,Age,Weight
113058,12,1,56,0.6189055
113088,13,1,44,0.7840468
113176,20,1,45,2.0650634
113203,53,1,51,1.6369545
113400,1,1,42,0.8558884
113517,29,1,40,1.1830859
113780,39,1,64,1.1435893
113796,36,1,65,0.3175802
113924,6,1,20,1.3902122
114005,36,1,24,0.4320806
114061,48,1,84,1.349158
114087,53,1,80,0.3110796
114112,15,1,61,0.7997061
114432,8,1,49,1.1990857
114439,22,1,73,0.3110796
114734,36,1,99,1.1841325
114762,40,1,71,0.3248272
114841,51,1,20,1.9621005
114851,12,1,62,0.9825373
115008,6,1,53,0.7027417
115065,42,2,62,1.1103825
115108,27,1,23,0.5362405
115410,36,1,99,0.6666644
115633,34,1,99,0.3963289
115667,55,1,46,1.0000856
115707,41,1,57,0.3110796
115883,53,1,99,0.3219784
115903,11,1,48,1.0647554
116175,27,1,34,1.0963994
116257,6,1,58,0.6059635
116294,48,2,30,0.8766032
116337,47,1,34,0.5876803
116415,4,1,40,1.0148426
116615,6,1,36,1.0504315
116839,26,1,63,0.5889016
116890,17,1,42,1.1100237
116914,19,1,65,0.6820138
116956,41,1,68,0.3110796
117225,9,1,18,1.1383556
117299,49,1,42,0.8392736
117310,6,1,63,2.3201672
117342,40,1,62,1.1851676
117428,55,1,61,0.7160373
117486,6,1,61,0.7352857
117521,24,1,59,0.7043088
117790,1,2,35,2.2081386
117793,17,2,69,0.5995854
117982,48,1,51,0.9232577
118142,34,1,46,0.9176609
118194,40,1,51,1.7410199
118393,6,1,79,0.3708016
118627,26,1,64,1.21674
118721,47,1,55,0.7695817
118773,23,1,73,0.9488504
118855,12,1,50,0.9164317
118914,31,2,82,0.4144898
118953,39,1,45,1.5813408
119003,37,1,61,2.0882163
119058,48,1,22,1.9757046
119166,26,1,40,1.234324
119196,50,1,75,0.9078804
119204,9,2,70,1.8517753
119398,34,1,44,0.9233458
119534,12,1,25,0.9821171
119583,12,1,68,0.6337868
119633,17,1,23,1.1035516
119635,48,1,30,1.6128112
119660,6,1,33,0.9236536
119796,48,1,46,0.7355197
119910,36,1,46,1.4246781
119932,47,1,31,1.6197416
120017,53,1,43,1.0300371
120259,51,1,43,0.7840468
120286,36,1,27,0.6911491
120293,13,1,72,0.3248272
120480,36,1,99,0.3963289
121031,55,1,23,2.4596811
121183,45,1,47,0.9205734
121275,49,1,37,0.8392736
121301,12,1,85,0.8194304
121328,51,1,70,0.3234374
121342,12,1,49,1.0647554
121351,18,1,72,1.2998369
121361,45,1,70,0.3478902
121362,45,1,66,0.3110796
121399,27,1,99,1.2122385
121427,8,1,30,1.4832708
121436,6,2,36,2.4188933
121463,37,1,66,0.3110796
121478,24,1,64,0.6374311
121739,48,1,50,0.6545816
121766,17,1,33,1.3126502
121803,6,1,42,1.0258966
122120,5,1,99,2.2403654
122205,33,1,37,1.0842876
122273,56,1,57,0.6059635
122299,47,1,56,0.6342274
122321,6,1,28,0.5614908
122470,17,1,24,0.5530809
122567,34,1,32,1.0199995
122596,45,1,43,1.0783614
122598,13,1,38,2.4596811
122661,40,1,38,0.8784198
122678,53,1,40,0.6533628
122680,41,1,54,0.5698423
122846,49,1,36,2.4596811
122869,6,1,67,0.3110796
122986,48,1,18,1.5538533
122999,47,1,53,0.9814993
123035,6,1,61,0.3832858
123074,37,1,78,0.3110796
123234,34,1,63,1.2387128
123261,13,1,58,0.3535622
123288,51,1,58,1.3375929
123536,28,1,65,0.45187
123581,51,1,46,0.5964214
123650,36,1,19,0.8861938
123806,39,1,99,0.3538788
123857,36,1,68,0.3110796
123889,56,1,36,0.8379908
123935,6,1,19,1.0347064
124054,1,1,57,1.0453862
124101,40,1,44,1.2029908
124179,33,1,67,0.5234739
124222,24,1,53,1.1649726
124238,29,1,74,0.3899423
124243,27,1,66,0.5923003
124309,32,1,78,0.679927
124356,42,1,63,0.6025577
124450,18,1,71,0.3743625
124630,17,1,47,1.2158452
124641,48,1,61,1.9185832
124680,39,1,52,1.6775766
124699,39,1,52,1.2536193
124784,40,1,37,0.8558884
124911,24,1,45,0.7355197
125036,25,1,31,0.7743404
125128,24,1,30,0.6575208
125264,5,1,28,0.8012618
125350,18,1,34,1.7429932
125422,42,2,69,1.3001535
125546,8,2,46,1.4911013
125552,4,1,32,1.5475587
125566,6,1,26,1.3772623
125825,45,1,55,0.3323503
126004,18,1,33,1.0689813
126022,36,1,81,0.5445838
126035,31,1,61,0.3626397
126178,50,1,40,1.4593432
126211,55,1,39,1.5614007
126296,6,1,73,0.6755269
126362,50,1,21,0.8479291
126535,42,1,39,1.5251994
126537,34,1,60,0.8534966
126573,48,1,62,0.6710872
126713,37,1,32,0.6706786
126754,1,1,71,0.7116409
126805,8,1,47,0.6561541
126806,35,1,60,1.3427609
126916,9,1,36,1.1367788
127138,28,1,42,0.6838376
127171,49,1,59,0.7595824
127276,45,1,32,2.3601549
127335,5,2,33,1.0188701
127352,4,2,72,0.782913
127377,6,1,30,2.1803585
127490,29,1,69,0.6633408
127494,48,1,36,0.7840468
127511,48,1,24,0.4862828
127626,51,1,59,0.4011634
127721,49,1,66,0.679927
127789,42,1,27,2.4596811
127884,48,1,22,1.1927871
127902,6,1,57,0.5417025
128086,6,1,50,1.5838463
128241,2,1,60,0.3219784
128389,27,1,58,0.3538788
128531,12,1,61,0.6189055
128583,47,1,23,1.1927871
128759,28,1,48,1.0055364
128817,6,1,99,1.2058677
128875,13,1,61,0.78458
128989,6,2,28,2.2453277
128995,6,1,59,0.3832858
129144,27,1,84,0.3727607
129237,24,1,32,2.4596811
129242,26,1,41,1.0605187
129263,45,1,63,0.3110796
129271,36,1,48,1.8892812
129423,39,1,18,2.0746808
129498,40,2,60,1.262113
129672,48,1,99,0.6867389
129800,45,1,30,0.8803701
129837,48,2,73,1.5914441
129873,4,1,19,1.3122469
129918,37,1,25,1.2250708
130078,36,1,26,0.6911491
130203,27,1,59,0.7635954
130217,5,1,36,1.4869113
130255,6,1,36,1.1026865
130385,17,1,37,1.0605187
130465,37,1,81,0.5504172
130488,12,1,52,0.9814993
130560,55,1,38,1.0077739
130600,6,1,37,1.1493804
130781,6,1,38,0.7491061
130835,47,1,63,0.7126488
130891,48,1,75,0.3464017
130988,26,1,32,2.1104261
130994,12,1,61,0.7695817
131114,5,2,99,0.7257237
131120,48,1,21,1.373454
131133,6,1,81,0.3110796
131197,51,1,22,1.8447271
131265,19,1,39,1.0327229
131573,12,1,99,0.4011634
131598,37,1,46,2.0595514
131820,17,1,54,0.7881014
131947,25,1,66,0.5734522
131948,50,1,62,2.1598952
132138,21,1,70,0.5504172
132149,34,1,65,2.3123127
132272,47,1,48,0.9205734
132283,36,1,55,0.6666644
132322,12,1,49,0.8523909
132331,12,1,53,0.7361489
132385,27,1,62,0.405736
132406,41,1,30,1.1083064
132436,39,1,42,1.0077739
132487,12,1,54,1.5606508
132622,12,1,60,0.3786655
132765,6,1,32,1.089152
132816,24,1,48,0.8205259
132862,40,1,31,1.3666559
132932,4,1,37,0.7523252
132965,51,1,64,0.3770454
133024,51,1,32,2.3601549
133212,27,1,34,0.9057029
133368,13,1,46,1.0949341
133385,1,2,63,0.8671673
133404,48,1,37,1.2029908
133587,18,1,54,1.7492983
133788,48,1,40,1.2833995
133897,33,1,60,0.3716449
133908,42,1,63,0.7490964
134208,23,1,46,2.2477183
134310,48,1,50,0.9205734
134521,40,1,51,0.5730816
