Country_Name,CO2 emissions (metric tons per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Energy use (metric tonne of oil equivalent per capita),Population density (people per sq. km of land area),Adjusted net national income per capita (current US$),Oil rents (% of GDP)
Slovenia,8.532016,100,69.47158,3.828064,102.1429,21.94622,0.000324
Small states,3.654505,65.61758,88.12704,1.418511,12.58719,4.11314,12.72577
Solomon Islands,0.38751,22.80671,0,0.130061,19.61994,0.983398,0
South Africa,9.545495,85.4,88.14867,2.976176,43.14741,6.493489,0.231232
Spain,8.097058,100,83.46681,3.251397,93.50784,29.06172,0.006391
Sri Lanka,0.729921,88.66256,48.84018,0.551048,332.7858,2.64154,0
St. Lucia,2.292817,90.87544,0,0.752295,296.541,6.70048,0
St. Vincent and the Grenadines,2.179923,75.90575,0,0.642744,280.3615,5.953786,0
Sudan,0.349549,32.56256,32.89949,0.389997,20.4937,1.478623,26.67807
Suriname,4.939089,100,0,1.439653,3.388045,6.246351,13.88804
Swaziland,0.950321,42,0,0.372735,71.61012,3.277412,0
Sweden,5.710314,100,34.42325,5.711127,23.3696,51.37319,0
Switzerland,5.595605,100,55.46974,3.618085,202.3702,70.61917,0
Syrian Arab Republic,3.421673,96.26256,99.25212,1.165514,116.6866,1.615018,24.7266
Tajikistan,0.463345,100,42.58706,0.363264,56.66568,0.892601,0.342379
Tanzania,0.154935,15.3,13.24379,0.46245,54.91726,0.706626,0
Thailand,4.534492,100,81.8133,1.878926,131.465,4.524291,2.576577
Togo,0.319444,31.46256,24.10152,0.500925,124.0224,0.414259,0
Tonga,1.276514,95.86256,0,0.567687,145.5125,4.086616,0
Trinidad and Tobago,38.33784,99.8278,99.92967,15.10924,261.5164,9.847332,15.83719
Tunisia,2.535619,100,88.26465,0.97484,69.37114,3.190688,6.287045
Turkey,4.383105,100,90.57388,1.577642,96.27906,9.905379,0.189709
Ukraine,7.087746,100,83.27778,3.033184,81.30269,3.143951,1.251884
United Arab Emirates,25.91459,97.69783,99.93398,9.696483,107.0878,33.74074,27.09879
United Kingdom,8.981481,100,90.10047,3.686376,263.3005,41.37543,1.448763
United States,19.61028,100,86.01854,7.8465,34.33887,44.29732,0.931463
Uruguay,2.471054,99.5,67.70578,1.365352,19.4078,12.97243,0
Uzbekistan,4.436685,100,98.82437,1.823312,69.99177,1.434571,13.49798
Vanuatu,0.591266,27.07681,0,0.159123,20.30336,2.875146,0
"Venezuela, RB",6.811756,100,89.8125,2.496243,33.84642,11.38827,38.63981
Vietnam,1.971434,99,70.32818,0.677674,286.4166,1.322763,11.24963
"Yemen, Rep.",1.09006,48.40671,98.78521,0.351803,47.12918,1.058165,41.2794
Zambia,0.21245,22.06256,10.49921,0.616628,19.89075,1.218827,0
Zimbabwe,0.825218,40.46256,32.82442,0.749986,37.6515,0.737433,0
